"user_input","expected_intent","expected_slots"
"What is the album and artist for the song Bad Guy?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Bad Guy"; "artist_name": null; "details": ["artist_name"; "album"]}}}"
"How many followers does Francesco Guccini have?","{Intent: artist_info","{"artist_info": {"slots": {"artist_name": "Francesco Guccini"; "details": ["followers"]}}}"
"Give me some suggestions about jazz music.","{Intent: get_recommendations","{"get_recommendations": {"slots": {"genre": "jazz"; "limit": null}}}"
"Suggest me some pop songs.","{Intent: get_recommendations","{"get_recommendations": {"slots": {"genre": "pop"; "limit": null}}}"
"What's the weather today in Rennes?","{Intent: out_of_domain","{"out_of_domain": {"slots": {"sentence_intent": "What is the weather today in Rennes?"}}}"
"How many tracks are in the album Thriller?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Thriller"; "artist_name": null; "details": ["total_tracks"]}}}"
"Who is the artist of the song Shape of You?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Shape of You"; "artist_name": null; "details": ["artist_name"]}}}"
"Tell me about the song Rolling in the Deep.","{Intent: song_info","{"song_info": {"slots": {"song_name": "Rolling in the Deep"; "artist_name": null; "details": ["all"]}}}"
"What are the genres of the album Abbey Road?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Abbey Road"; "artist_name": null; "details": ["genre"]}}}"
"How popular is Ed Sheeran?","{Intent: artist_info","{"artist_info": {"slots": {"artist_name": "Ed Sheeran"; "details": ["popularity"]}}}"
"Show me my top tracks for the last month.","{Intent: user_top_tracks","{"user_top_tracks": {"slots": {"time_frame": "short_term"; "limit": null}}}"
"Who sings Bohemian Rhapsody?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Bohemian Rhapsody"; "artist_name": null; "details": ["artist_name"]}}}"
"What is the duration of Hotel California?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Hotel California"; "artist_name": null; "details": ["duration"]}}}"
"List my top artists of the past year.","{Intent: user_top_artists","{"user_top_artists": {"slots": {"time_frame": "long_term"; "limit": null}}}"
"Tell me about The Weeknd.","{Intent: artist_info","{"artist_info": {"slots": {"artist_name": "The Weeknd"; "details": ["all"]}}}"
"How many followers does Taylor Swift have?","{Intent: artist_info","{"artist_info": {"slots": {"artist_name": "Taylor Swift"; "details": ["followers"]}}}"
"Find me some electronic music recommendations.","{Intent: get_recommendations","{"get_recommendations": {"slots": {"genre": "electronic"; "limit": null}}}"
"What is the release date of the song Blinding Lights?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Blinding Lights"; "artist_name": null; "details": ["release_date"]}}}"
"Who is the artist of the album Rumours?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Rumours"; "artist_name": null; "details": ["artist_name"]}}}"
"Tell me the genres of the song Someone Like You.","{Intent: song_info","{"song_info": {"slots": {"song_name": "SomeoneLike You"; "artist_name": null; "details": ["genre"]}}}"
"How many tracks does the album Lemonade have?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Lemonade"; "artist_name": null; "details": ["total_tracks"]}}}"
"Show me my top artists from the past six months.","{Intent: user_top_artists","{"user_top_artists": {"slots": {"time_frame": "medium_term"; "limit": null}}}"
"What are some good reggae songs?","{Intent: get_recommendations","{"get_recommendations": {"slots": {"genre": "reggae"; "limit": null}}}"
"Tell me about the song Yesterday by The Beatles.","{Intent: song_info","{"song_info": {"slots": {"song_name": "Yesterday"; "artist_name": "The Beatles"; "details": ["all"]}}}"
"How many followers does Drake have on Spotify?","{Intent: artist_info","{"artist_info": {"slots": {"artist_name": "Drake"; "details": ["followers"]}}}"
"What is the total number of tracks in Dark Side of the Moon?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Dark Side of the Moon"; "artist_name": null; "details": ["total_tracks"]}}}"
"Suggest me some R&B music.","{Intent: get_recommendations","{"get_recommendations": {"slots": {"genre": "r&b"; "limit": null}}}"
"What is the genre of the song Uptown Funk?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Uptown Funk"; "artist_name": null; "details": ["genre"]}}}"
"Who sings the song Wonderwall?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Wonderwall"; "artist_name": null; "details": ["artist_name"]}}}"
"Find me some hip-hop music recommendations.","{Intent: get_recommendations","{"get_recommendations": {"slots": {"genre": "hip-hop"; "limit": null}}}"
"Tell me about the song Bad Guy by Billie Eilish.","{Intent: song_info","{"song_info": {"slots": {"song_name": "Bad Guy"; "artist_name": "Billie Eilish"; "details": ["all"]}}}"
"What is the total track count of the album 1989?","{Intent: album_info","{"album_info": {"slots": {"album_name": "1989"; "artist_name": null; "details": ["total_tracks"]}}}"
"How popular is the artist Post Malone?","{Intent: artist_info","{"artist_info": {"slots": {"artist_name": "Post Malone"; "details": ["popularity"]}}}"
"Show me my top tracks from the past year.","{Intent: user_top_tracks","{"user_top_tracks": {"slots": {"time_frame": "long_term"; "limit": null}}}"
"What is the duration of the song Perfect?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Perfect"; "artist_name": null; "details": ["duration"]}}}"
"Who is the artist behind the album Divide?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Divide"; "artist_name": null; "details": ["artist_name"]}}}"
"Give me recommendations for classical music.","{Intent: get_recommendations","{"get_recommendations": {"slots": {"genre": "classical"; "limit": null}}}"
"What are my most played songs of the last six months?","{Intent: user_top_tracks","{"user_top_tracks": {"slots": {"time_frame": "medium_term"; "limit": null}}}"
"Who sings the song Take Me to Church?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Take Me to Church"; "artist_name": null; "details": ["artist_name"]}}}"
"What is the release year of the album Born to Die?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Born to Die"; "artist_name": null; "details": ["release_date"]}}}"
"Who is the artist of the song Dancing Queen?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Dancing Queen"; "artist_name": null; "details": ["artist_name"]}}}"
"How many total tracks are in the album Random Access Memories?","{Intent: album_info","{"album_info": {"slots": {"album_name": "Random Access Memories"; "artist_name": null; "details": ["total_tracks"]}}}"
"What are the genres of the song Hotel California? And the duration of Imagine?","{Intent1: song_info1 \n{Intent2: song_info2","[{"song_info1": {"slots": {"song_name": "Hotel California"; "artist_name": null; "details": ["genres"]}}}; {"song_info2": {"slots": {"song_name": "Imagine"; "artist_name": null; "details": ["duration"]}}}]"
"Tell me how many tracks the album Divide has and the duration of Shape of You.","{Intent1: album_info \n {Intent2: song_info","[{"song_info": {"slots": {"song_name": "Shape of You"; "artist_name": null; "details": ["duration"]}}}; {"album_info": {"slots": {"album_name": "Divide"; "artist_name": null; "details": ["total_tracks"]}}}]"
"What is the release date of the song Blinding Lights and who is the artist?","{Intent: song_info","{"song_info": {"slots": {"song_name": "Blinding Lights"; "artist_name": null; "details": ["release_date"; "artist_name"]}}}"
"Show me my top artists for the last month and also my top tracks.","{Intent1: user_top_artists \n {Intent2: user_top_tracks","[{"user_top_tracks": {"slots": {"time_frame": "short_term"; "limit": null}}}; {"user_top_artists": {"slots": {"time_frame": "short_term"; "limit": null}}}]"
"What are the genres of the album Lemonade and the popularity of Beyoncé?","{Intent1: album_info \n {Intent2: artist_info","[{"album_info": {"slots": {"album_name": "Lemonade"; "artist_name": null; "details": ["genres"]}}}; {"artist_info": {"slots": {"artist_name": "Beyoncé"; "details": ["popularity"]}}}]"
"How many followers does The Weeknd have and what are my top tracks from last year?","{Intent1: artist_info \n {Intent2: user_top_tracks","[{"artist_info": {"slots": {"artist_name": "The Weeknd"; "details": ["followers"]}}}; {"user_top_tracks": {"slots": {"time_frame": "long_term"; "limit": null}}}]"
"Tell me about the album Thriller and suggest me some pop music.","{Intent1: album_info \n{Intent2: get_recommendations","[{"album_info": {"slots": {"album_name": "Thriller"; "artist_name": null; "details": ["all"]}}}; {"get_recommendations": {"slots": {"genre": "pop"; "limit": null}}}]"
"Give me some electronic music recommendations and tell me the duration of 'Strobe' by Deadmau5.","{Intent1: get_recommendations \n {Intent2: song_info","{"song_info": {"slots": {"song_name": "Strobe"; "artist_name": "Deadmau5"; "details": ["duration"]}}}; \n{"get_recommendations": {"slots": {"genre": "electronic"; "limit": null}}}]"
