"user_input","expected_slots","DM_output"
"""What is the album and artist for the song Bad Guy?""","""{""song_info"": {""slots"": {""song_name"": ""Bad Guy""; ""artist_name"": null; ""details"": [""artist_name""; ""album""]}}}""","{""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": {""song_name"": ""Bad Guy"", ""details"": [""artist_name""]}}"
"""How many followers does Francesco Guccini have?""","""{""artist_info"": {""slots"": {""artist_name"": ""Francesco Guccini""; ""details"": [""followers""]}}}""","{""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": {""artist_name"": ""Francesco Guccini"", ""details"": [""followers""]}}"
"""Give me some suggestions about jazz music.""","""{""get_recommendations"": {""slots"": {""genre"": ""jazz""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""genre"": ""jazz"", ""details"": [""limit""] } }"
"""Suggest me some pop songs.""","""{""get_recommendations"": {""slots"": {""genre"": ""pop""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""genre"": ""pop"", ""details"": [""limit""] } }"
"""What's the weather today in Rennes?""","""{""out_of_domain"": {""slots"": {""sentence_intent"": ""What is the weather today in Rennes?""}}}""","{""next_best_action"": ""confirmation(out_of_domain)"", ""args(out_of_domain)"": {""sentence_intent"": ""What is the weather today in Rennes?""}}"
"""How many tracks are in the album Thriller?""","""{""album_info"": {""slots"": {""album_name"": ""Thriller""; ""artist_name"": null; ""details"": [""total_tracks""]}}}""","{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Thriller"", ""details"": [""artist_name""] } }"
"""Who is the artist of the song Shape of You?""","""{""song_info"": {""slots"": {""song_name"": ""Shape of You""; ""artist_name"": null; ""details"": [""artist_name""]}}}""","{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Shape of You"", ""details"": [""artist_name""] }}"
"""Tell me about the song Rolling in the Deep.""","""{""song_info"": {""slots"": {""song_name"": ""Rolling in the Deep""; ""artist_name"": null; ""details"": [""all""]}}}""","{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Rolling in the Deep"", ""details"": [""artist_name""]}}"
"""What are the genres of the album Abbey Road?""","""{""album_info"": {""slots"": {""album_name"": ""Abbey Road""; ""artist_name"": null; ""details"": [""genre""]}}}""","{""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": {""album_name"": ""Abbey Road"", ""details"": [""artist_name""]}}"
"""How popular is Ed Sheeran?""","""{""artist_info"": {""slots"": {""artist_name"": ""Ed Sheeran""; ""details"": [""popularity""]}}}""","{""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": {""artist_name"": ""Ed Sheeran"", ""details"": [""popularity""]}}"
"""Show me my top tracks for the last month.""","""{""user_top_tracks"": {""slots"": {""time_frame"": ""short_term""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(user_top_tracks)"", ""args(user_top_tracks)"": { ""details"": [""limit""] } }"
"""Who sings Bohemian Rhapsody?""","""{""song_info"": {""slots"": {""song_name"": ""Bohemian Rhapsody""; ""artist_name"": null; ""details"": [""artist_name""]}}}""","{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Bohemian Rhapsody"", ""details"": [""artist_name""] } }"
"""What is the duration of Hotel California?""","""{""song_info"": {""slots"": {""song_name"": ""Hotel California""; ""artist_name"": null; ""details"": [""duration""]}}}""","{""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": {""details"": [""artist_name""], ""song_name"": ""Hotel California""}}"
"""List my top artists of the past year.""","""{""user_top_artists"": {""slots"": {""time_frame"": ""long_term""; ""limit"": null}}}""","{""next_best_action"": ""request_info(user_top_artists)"", ""args(user_top_artists)"": {""details"": [""limit""]}}"
"""Tell me about The Weeknd.""","""{""artist_info"": {""slots"": {""artist_name"": ""The Weeknd""; ""details"": [""all""]}}}""","{ ""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": { ""artist_name"": ""The Weeknd"", ""details"": [""all""]}}"
"""How many followers does Taylor Swift have?""","""{""artist_info"": {""slots"": {""artist_name"": ""Taylor Swift""; ""details"": [""followers""]}}}""","{ ""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": { ""artist_name"": ""Taylor Swift"", ""details"": [""followers""]}}"
"""Find me some electronic music recommendations.""","""{""get_recommendations"": {""slots"": {""genre"": ""electronic""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""genre"": ""electronic"", ""details"": [""limit""] } }"
"""What is the release date of the song Blinding Lights?""","""{""song_info"": {""slots"": {""song_name"": ""Blinding Lights""; ""artist_name"": null; ""details"": [""release_date""]}}}""","{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Blinding Lights"", ""details"": [""artist_name""] } }"
"""Who is the artist of the album Rumours?""","""{""album_info"": {""slots"": {""album_name"": ""Rumours""; ""artist_name"": null; ""details"": [""artist_name""]}}}""","{""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": {""album_name"": ""Rumours"", ""details"": [""artist_name""]}}"
"""Tell me the genres of the song Someone Like You.""","""{""song_info"": {""slots"": {""song_name"": ""SomeoneLike You""; ""artist_name"": null; ""details"": [""genre""]}}}""","{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""SomeoneLike You"", ""details"": [""artist_name""] }}"
"""How many tracks does the album Lemonade have?""","""{""album_info"": {""slots"": {""album_name"": ""Lemonade""; ""artist_name"": null; ""details"": [""total_tracks""]}}}""","{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Lemonade"", ""details"": [""artist_name""] } }"
"""Show me my top artists from the past six months.""","""{""user_top_artists"": {""slots"": {""time_frame"": ""medium_term""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(user_top_artists)"", ""args(user_top_artists)"": {""details"": [""limit""]}}"
"""What are some good reggae songs?""","""{""get_recommendations"": {""slots"": {""genre"": ""reggae""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""genre"": ""reggae"", ""details"": [""limit""] } }"
"""Tell me about the song Yesterday by The Beatles.""","""{""song_info"": {""slots"": {""song_name"": ""Yesterday""; ""artist_name"": ""The Beatles""; ""details"": [""all""]}}}""","{""next_best_action"": ""confirmation(song_info)"", ""args(song_info)"": { ""song_name"": ""Yesterday"", ""artist_name"": ""The Beatles"", ""details"": [""all""]}}"
"""How many followers does Drake have on Spotify?""","""{""artist_info"": {""slots"": {""artist_name"": ""Drake""; ""details"": [""followers""]}}}""","{ ""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": { ""artist_name"": ""Drake"", ""details"": [""followers""] } }"
"""What is the total number of tracks in Dark Side of the Moon?""","""{""album_info"": {""slots"": {""album_name"": ""Dark Side of the Moon""; ""artist_name"": null; ""details"": [""total_tracks""]}}}""","{""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Dark Side of the Moon"", ""details"": [""artist_name""]}}"
"""Suggest me some R&B music.""","""{""get_recommendations"": {""slots"": {""genre"": ""r&b""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""genre"": ""r&b"", ""details"": [""limit""] } }"
"""What is the genre of the song Uptown Funk?""","""{""song_info"": {""slots"": {""song_name"": ""Uptown Funk""; ""artist_name"": null; ""details"": [""genre""]}}}""","{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Uptown Funk"", ""details"": [""artist_name""] } }"
"""Who sings the song Wonderwall?""","""{""song_info"": {""slots"": {""song_name"": ""Wonderwall""; ""artist_name"": null; ""details"": [""artist_name""]}}}""","{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Wonderwall"", ""details"": [""artist_name""] } }"
"""Find me some hip-hop music recommendations.""","""{""get_recommendations"": {""slots"": {""genre"": ""hip-hop""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""genre"": ""hip-hop"", ""details"": [""limit""] } }"
"""Tell me about the song Bad Guy by Billie Eilish.""","""{""song_info"": {""slots"": {""song_name"": ""Bad Guy""; ""artist_name"": ""Billie Eilish""; ""details"": [""all""]}}}""","{""next_best_action"": ""confirmation(song_info)"", ""args(song_info)"": {""song_name"": ""Bad Guy"", ""artist_name"": ""Billie Eilish"", ""details"": [""all""]}}"
"""What is the total track count of the album 1989?""","""{""album_info"": {""slots"": {""album_name"": ""1989""; ""artist_name"": null; ""details"": [""total_tracks""]}}}""","{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""1989"", ""details"": [""artist_name""] } }"
"""How popular is the artist Post Malone?""","""{""artist_info"": {""slots"": {""artist_name"": ""Post Malone""; ""details"": [""popularity""]}}}""","{ ""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": { ""artist_name"": ""Post Malone"", ""details"": [""popularity""] } }"
"""Show me my top tracks from the past year.""","""{""user_top_tracks"": {""slots"": {""time_frame"": ""long_term""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(user_top_tracks)"", ""args(user_top_tracks)"": { ""details"": [""limit""] } }"
"""What is the duration of the song Perfect?""","""{""song_info"": {""slots"": {""song_name"": ""Perfect""; ""artist_name"": null; ""details"": [""duration""]}}}""","{""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": {""song_name"": ""Perfect"", ""details"": [""artist_name""]}}"
"""Who is the artist behind the album Divide?""","""{""album_info"": {""slots"": {""album_name"": ""Divide""; ""artist_name"": null; ""details"": [""artist_name""]}}}""","{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Divide"", ""details"": [""artist_name""] } }"
"""Give me recommendations for classical music.""","""{""get_recommendations"": {""slots"": {""genre"": ""classical""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""genre"": ""classical"", ""details"": [""limit""] } }"
"""What are my most played songs of the last six months?""","""{""user_top_tracks"": {""slots"": {""time_frame"": ""medium_term""; ""limit"": null}}}""","{ ""next_best_action"": ""request_info(user_top_tracks)"", ""args(user_top_tracks)"": { ""details"": [""limit""] } }"
"""Who sings the song Take Me to Church?""","""{""song_info"": {""slots"": {""song_name"": ""Take Me to Church""; ""artist_name"": null; ""details"": [""artist_name""]}}}""","{ ""next_best_action"": ""confirmation(song_info)"", ""args(song_info)"": { ""song_name"": ""Take Me to Church"", ""details"": [""artist_name""] }}"
